user,text
AlanRubin57,@Mike_Pence Appealing his tax fraud conviction?
BrotherDoofus,@Mike_Pence Even Paxton knows the lawsuit is a steaming pile of BS that he only filed to get a pardon from Loser Duhnald
TWoZ53,@Mike_Pence https://t.co/qHWDRiWt4G
Woodyman502,"@Mike_Pence @realDonaldTrump The number of COVID-19 deaths in the U.S. increased dramatically in the past week, acc… https://t.co/ytK556IK5g"
LoraCeleste,@Mike_Pence You all have lost your fucking minds
womenwillsaveus,@Mike_Pence Radical left my ass. The Nazi Right is the truth
no1listened,"@Mike_Pence They? Since you're addressing Americans, who is they?"
vicki_batkin,@Mike_Pence https://t.co/mA1pEgspRY
tinmarbie,"@Mike_Pence Dear leader and you have made a laughingstock of our country, you need to just go."
lyndariley2,@Mike_Pence @VP @realDonaldTrump You fail to mention how your incompetence has left hundreds of thousands dead Amer… https://t.co/O6qWROV5Va
rita44013222,"@Mike_Pence @realDonaldTrump Under Donald trump we would have no vaccine, remember it was a democrat hoax."
TRE45ON,"RT @BigHeadDave: @Mike_Pence Don’t vote Republicans!  If you do, write in Donald J Trump.    Be loyal to MAGA. https://t.co/KRqfRBslUN"
ldcl35,"@Mike_Pence We voted Mike, 81 million of us. You're out."
Carolyn84187055,@Mike_Pence Vote Patriots. Only once. 😁
CLynnC4,"@Mike_Pence Shut up Pence. We voted, we won, and your Orange leader is trying to say we didn’t!! #PencePranceClap"
USA_TrumpGirl,@Mike_Pence @VP @realDonaldTrump Voter fraud proof https://t.co/ndDMHtevWp
DerekJ1,@Mike_Pence @Perduesenate @KLoeffler Don’t you mean for your wallets and purses #antigaybootcampgraduate
DavidCo44652005,@Mike_Pence The current administration is by far slacking. So possibly we could have a govt for the people is what your saying?
JWearadamnmask,@Mike_Pence Yes!!!! Everyone here in Georgia vote #OssoffWarnock #VoteBlueInGeorgia
londongal_28,@Mike_Pence We already voted and you are OUT!
rita44013222,@Mike_Pence Kind of like your radical left move.
timmerson2,@Mike_Pence bloomberg controls the stock market and all network news ch and ive given away over 2 billion dollars s… https://t.co/LcaJ577bok
hocastell726,"@Mike_Pence @VP @realDonaldTrump ""Leader"", you talking about the same person that has been hiding since he lost the… https://t.co/koHaO7QqX4"
NDMIKE72,"@Mike_Pence @VP @UofSCSOMG Who is gonna tell Dickhead that 6,500 Americans have died in just the last 2 days — whil… https://t.co/PBffeEracQ"
jamescl64461820,@Mike_Pence Sounds like you have been converted or have you always had a little con in you
ThomasReilly13,@Mike_Pence I did vote Mike! And we WON! https://t.co/FTTwrl74L5
garybridges54,RT @Rosemarie4311: @Mike_Pence https://t.co/eeuuy8MJKw
JeffersonsTom,@Mike_Pence And you are?
CMacSlaptastic,"@Mike_Pence The radicals trying to overthrow the democracy this country was founded and built upon, taking guns to… https://t.co/LnuNl7KeGm"
HeatherResister,@Mike_Pence Then concede a$$hole!!
calisandstorm,"@Mike_Pence you worked out with Richard Simmons when Mother wasn't looking, didn't you? https://t.co/2obX1uYB2C"
NDMIKE72,"@Mike_Pence @VP @realDonaldTrump “Under @realDonaldTrump’s leadership, we’ll have” more than 400,000 dead Americans… https://t.co/BD79khd8JH"
CoastalCndn,@Mike_Pence @realDonaldTrump @Perduesenate @KLoeffler https://t.co/PQmV9OcREN
fighter171717,"@Mike_Pence Please Sign the Petition, RT and Share🙏 We the People’ herein back the Texas law suit over violations t… https://t.co/abgfNCBM3U"
bluragmuffin,@Mike_Pence @VP @realDonaldTrump Bc of ur and Trump’s lack of leadership US will have 60 days of 911 deaths each da… https://t.co/snltd5CwPk
jonwillkins,@Mike_Pence Time to go back to Indiana and be quiet.
LUX___FERRE,@Mike_Pence Is this dementia? Elections were last month. You LOST.
chanulla2,"@Mike_Pence Oh Mikey, stop tweeting. You will never be president after serving in an administration that is respons… https://t.co/BBTaXBsJ8X"
BarbaraSieg2,@Mike_Pence He needs to thank the American tax payers because we will be paying for this for years.
rasm47,@Mike_Pence You're now peddling #Sedition #Vippy @VP-  and it's not going to end well.
Grace17653306,"@Mike_Pence Don’t forget to vote DEMOCRATS WE CAN VOTE ALL THIS LOSERS, CHEATERS, LIARS OUT 🤡🤡🤡"
yobonseywasup,@Mike_Pence @VP @realDonaldTrump Tell all the members of congress and the senate. God will punished them. O know you believe that
GaylenHightower,@Mike_Pence Fcuk* off
Lizbeth96193962,"@Mike_Pence No, he had his chance. He lost. Biden won"
BarbaraSieg2,"@Mike_Pence So does an investigation into all the republicans that were voted in this election, republicans are cal… https://t.co/eNrTJGF7ri"
kit10219512,"@Mike_Pence @realDonaldTrump @Perduesenate @KLoeffler yeah,  Donald Trump will serve a second term then he can beco… https://t.co/BveHlTDAzF"
420ondeck1,@Mike_Pence Your goose is as good as cooked if you and your failure administration try and steal this election!!! J… https://t.co/oqKesJ5JrC
Mthinking2,RT @Rosemarie4311: @Mike_Pence https://t.co/vu6dgC7PL5
morehouse_james,"@Mike_Pence So, not rigged. Ok."
EllenMaryh,@Mike_Pence Smh.
Phylulu1,@Mike_Pence Dems aren’t far left. Y’all pulled the right so far right it looks like Afghanistan
jamesfl42099220,"@Mike_Pence He certainly deserves his day in court, and he will get it, but it won’t be the court he’s thinking of."
ZastrowJuergen,@Mike_Pence @realDonaldTrump Do you really believe your tweet.... Unbelievebal...
chanulla2,@Mike_Pence Who cares what pence says?
Trumptraincrash,@Mike_Pence Just throw any credibility you had away
Raven11015981,"@Mike_Pence @Perduesenate @KLoeffler Yeah vote so they can throw it away, and or change your vote.... https://t.co/wY21Hg6MAP"
GloriaWright3,RT @Rosemarie4311: @Mike_Pence https://t.co/vu6dgC7PL5
MRGG2theB,@Mike_Pence Mike Pence is the closest thing to the devil that has  ever walk the halls of the White House.
